pubchem_id1,g_id1,pubchem_id2,g_id2,cell,label
25126798,160,5426,32,BT549,1
25126798,160,68740,57,BT549,1
135398738,191,123608,63,BT549,0
36314,46,148124,68,HS578T,0
5790,35,356653,81,BT549,0
104842,62,126941,65,BT549,0
2123,3,4842,27,BT549,0
5360373,108,77082,59,BT549,0
5284616,104,32874,45,BT549,0
25126798,160,135410875,193,BT549,1
4212,25,3902,21,BT549,0
3367,15,441203,85,BT549,0
2662,9,3685,19,BT549,0
24776445,154,3690,20,BT549,1
123631,64,3950,22,BT549,0
216326,77,5935,37,BT549,0
216326,77,6442177,110,BT549,1
3062316,102,667490,93,BT549,0
9854073,115,3950,22,MCF7,0
5035,28,6252,40,BT549,0
86661883,187,56649450,179,BT549,1
3950,22,444795,86,BT549,1
9854073,115,5790,35,BT549,0
9826528,114,9926586,119,MDAMB468,1
11683,43,354624,80,BT549,0
135410875,193,6239,39,BT549,1
11626560,138,3950,22,BT549,1
9854073,115,3385,16,BT549,1
3902,21,3685,19,BT549,0
5790,35,96312,60,BT549,0
25126798,160,6419753,109,MDAMB468,0
3081361,103,9854073,115,BT549,0
5352062,107,5799,36,BT549,1
3367,15,454216,90,BT549,0
644241,92,148121,67,BT549,1
11626560,138,3385,16,BT549,0
25136944,161,9927978,120,BT549,0
5426,32,29327,44,BT549,0
5291,29,29327,44,BT549,0
123631,64,68740,57,BT549,0
3062316,102,5426,32,BT549,0
25227436,162,148177,69,KPL1,1
24776445,154,457193,91,BT549,1
60198,51,3367,15,BT549,0
135410875,193,2578,8,BT549,0
6252,40,2907,13,BT549,0
6194,38,54611422,175,BT549,0
444795,86,241902,78,BT549,1
5284616,104,24197464,153,BT549,0
5799,36,5426,32,BT549,0
6442177,110,241902,78,BT549,0
135410875,193,3385,16,BT549,1
36462,47,444795,86,BT549,0
3081361,103,5453,33,BT549,1
123608,63,54611422,175,BT549,0
135398738,191,400633,83,BT549,0
2662,9,104842,62,BT549,0
148124,68,1805,2,BT549,1
3081361,103,60699,52,BT549,0
49847690,170,3461,17,A549,1
2123,3,29327,44,BT549,0
2708,10,4211,24,BT549,0
36462,47,454216,90,BT549,0
57519543,183,17755052,150,BT549,0
51039095,173,148177,69,KPL1,1
1805,2,57469,50,BT549,1
6252,40,57469,50,BT549,0
135398501,190,2779853,99,MDAMB468,0
5311,30,6442177,110,BT549,0
208908,75,77082,59,BT549,0
644241,92,6239,39,BT549,0
1805,2,3685,19,BT549,1
9927978,120,3685,19,BT549,0
216326,77,11626560,138,BT549,0
132971,66,208908,75,BT549,1
135398501,190,9926586,119,MDAMB468,1
5453,33,3685,19,BT549,0
5291,29,6445540,111,BT549,0
4212,25,241902,78,BT549,1
2733525,97,4211,24,BT549,0
3950,22,6239,39,BT549,1
11683,43,2187,5,BT549,0
11626560,138,208908,75,BT549,0
123631,64,11167602,127,KPL1,1
5394,31,2187,5,BT549,0
3367,15,9703,42,BT549,0
60699,52,2578,8,BT549,1
3950,22,5426,32,BT549,0
454216,90,2478,7,BT549,0
2662,9,9703,42,BT549,0
25227436,162,176167,73,KPL1,1
16659841,144,176167,73,KPL1,0
2708,10,57469,50,BT549,0
9703,42,4114,23,BT549,0
216326,77,1546,0,BT549,0
25136944,161,444795,86,BT549,0
148124,68,148121,67,HS578T,0
208908,75,216239,76,BT549,0
135398738,191,356653,81,BT549,0
9854073,115,208908,75,BT549,0
23725625,152,11656518,139,KPL1,1
132971,66,6239,39,BT549,1
2123,3,6239,39,BT549,0
5035,28,176871,74,BT549,1
11525740,135,68740,57,BT549,1
2123,3,4114,23,BT549,0
5935,37,57469,50,BT549,0
4212,25,5935,37,BT549,0
6450551,112,3950,22,BT549,1
135410875,193,123608,63,BT549,0
2723601,96,5394,31,BT549,0
5453,33,36314,46,BT549,1
5291,29,4211,24,BT549,0
1546,0,1805,2,BT549,1
2733525,97,77082,59,BT549,1
644241,92,104842,62,BT549,0
5935,37,60699,52,BT549,1
135410875,193,2708,10,BT549,1
444795,86,441203,85,BT549,0
1546,0,216239,76,BT549,0
4842,27,2907,13,BT549,0
5311,30,3062316,102,BT549,0
1805,2,77082,59,BT549,0
4211,24,148121,67,BT549,0
9854073,115,5935,37,BT549,0
148124,68,32874,45,BT549,1
644241,92,36314,46,BT549,1
9826528,114,9884685,118,MDAMB468,1
208908,75,454216,90,BT549,0
2723601,96,216239,76,BT549,1
216326,77,96312,60,BT549,1
9854073,115,3690,20,BT549,0
9854073,115,5284616,104,BT549,1
25136944,161,5352062,107,BT549,1
356653,81,2578,8,BT549,0
10127622,123,49867930,172,KPL1,1
96312,60,135401907,192,BT549,0
6252,40,68740,57,BT549,0
5284616,104,3685,19,BT549,1
3950,22,2141,4,BT549,0
216239,76,126941,65,BT549,0
5035,28,9927978,120,BT549,0
241902,78,441203,85,BT549,0
667490,93,5426,32,BT549,0
36462,47,54611422,175,BT549,0
25136944,161,3385,16,BT549,0
25023738,158,9926586,119,MDAMB468,1
132971,66,3385,16,BT549,1
5291,29,163659,72,BT549,0
2187,5,5352062,107,BT549,0
2733525,97,4114,23,BT549,0
23725625,152,49867926,171,KPL1,0
9854073,115,1805,2,BT549,1
77082,59,29327,44,BT549,0
36462,47,457193,91,BT549,1
123631,64,216239,76,BT549,1
452548,89,5352062,107,BT549,1
123631,64,2723601,96,BT549,0
356653,81,241902,78,BT549,0
241902,78,135401907,192,BT549,1
11488320,132,16681698,145,KPL1,0
5453,33,454216,90,BT549,0
216326,77,457193,91,BT549,1
62770,54,216239,76,BT549,0
11488320,132,45375953,168,KPL1,0
241902,78,356653,81,BT549,0
44199317,165,56946894,181,A549,0
2733525,97,2578,8,BT549,0
3081361,103,38904,48,BT549,1
24197464,153,3690,20,BT549,0
135410875,193,148121,67,BT549,1
4842,27,24197464,153,BT549,1
3902,21,5311,30,BT549,0
123631,64,17754438,149,KPL1,1
163659,72,4842,27,BT549,0
5360373,108,454216,90,BT549,1
11683,43,32874,45,BT549,1
104842,62,441203,85,BT549,0
3657,18,354624,80,BT549,1
452548,89,2733525,97,BT549,0
23725625,152,11626560,138,KPL1,1
62770,54,163659,72,HS578T,1
6252,40,441203,85,BT549,1
241902,78,40926,49,BT549,1
132971,66,3367,15,BT549,0
25023738,158,44462758,167,MDAMB468,1
5799,36,126941,65,BT549,0
71384,58,2141,4,BT549,1
68591670,185,10127622,123,A549,1
9854073,115,5746,34,BT549,0
11626560,138,216326,77,BT549,1
104741,61,135401907,192,BT549,0
2478,7,4114,23,BT549,0
62770,54,123608,63,BT549,0
6252,40,60699,52,BT549,1
5284616,104,68740,57,BT549,0
1546,0,6442177,110,BT549,0
104741,61,354624,80,BT549,0
3081361,103,56655374,180,A549,0
354624,80,6442177,110,BT549,0
60198,51,135398738,191,BT549,0
11683,43,126941,65,BT549,0
356653,81,5746,34,BT549,0
2708,10,387447,82,BT549,0
5352062,107,9703,42,BT549,0
29327,44,9703,42,HS578T,1
356653,81,104842,62,BT549,1
96312,60,104741,61,BT549,1
49847690,170,44199317,165,A549,1
123631,64,4842,27,BT549,1
60198,51,123608,63,BT549,1
71384,58,5453,33,BT549,0
9854073,115,2708,10,MCF7,0
5394,31,6442177,110,BT549,0
5746,34,57469,50,BT549,0
57340686,182,25126798,160,MDAMB468,0
208908,75,5426,32,BT549,0
24964624,156,25227436,162,BT549,1
6194,38,176871,74,BT549,1
73265194,186,3005572,100,HUH7,0
11152667,126,24978538,157,KPL1,0
241902,78,4114,23,BT549,0
3950,22,104741,61,BT549,1
132971,66,25126798,160,BT549,1
6194,38,5284616,104,BT549,0
216326,77,25136944,161,BT549,0
5453,33,5935,37,BT549,0
9703,42,54611422,175,BT549,1
25126798,160,4211,24,BT549,1
3385,16,148121,67,BT549,0
11683,43,54611422,175,BT549,0
3081361,103,387447,82,BT549,0
457193,91,5329102,106,BT549,0
9927978,120,5746,34,BT549,1
60699,52,54611422,175,BT549,0
6442177,110,3685,19,BT549,1
356653,81,2478,7,BT549,0
3081361,103,16720766,147,ZR751,0
6194,38,457193,91,BT549,0
135410875,193,135401907,192,BT549,0
400633,83,354624,80,BT549,0
96312,60,54611422,175,BT549,0
123631,64,3657,18,BT549,0
135410875,193,3062316,102,BT549,1
86661883,187,16654980,143,BT549,0
2123,3,77082,59,BT549,0
96312,60,3690,20,HS578T,0
24197464,153,451668,88,BT549,0
73265194,186,2351,6,HUH7,1
25227436,162,387447,82,KPL1,0
2733525,97,5284616,104,BT549,0
216239,76,6239,39,BT549,0
25126798,160,132971,66,BT549,1
96312,60,68740,57,BT549,1
11525740,135,96312,60,BT549,1
2123,3,163659,72,BT549,1
9927978,120,454216,90,BT549,0
11488320,132,148195,70,KPL1,0
25126798,160,667490,93,BT549,0
10127622,123,17755052,150,KPL1,0
9927978,120,5352062,107,BT549,0
25136944,161,3950,22,BT549,0
2733526,98,24964624,156,KPL1,1
11525740,135,2187,5,BT549,1
3902,21,241902,78,BT549,0
249332,79,2187,5,BT549,0
3367,15,4211,24,BT549,0
5035,28,4211,24,BT549,1
96312,60,36314,46,BT549,0
104842,62,216239,76,BT549,0
208908,75,9703,42,BT549,0
5352062,107,24197464,153,BT549,0
135410875,193,451668,88,BT549,1
5394,31,400633,83,BT549,0
3950,22,454216,90,BT549,0
10127622,123,16719221,146,KPL1,0
6252,40,249332,79,BT549,0
6239,39,451668,88,BT549,1
1546,0,444795,86,BT549,0
36462,47,9927978,120,BT549,1
104741,61,104842,62,BT549,0
9927978,120,5284616,104,BT549,0
25227436,162,16654980,143,BT549,1
52913813,174,25262792,163,BT549,1
38904,48,5394,31,BT549,0
132971,66,25136944,161,BT549,0
454216,90,135401907,192,BT549,0
4842,27,9703,42,BT549,0
3081361,103,241902,78,BT549,0
104741,61,3685,19,BT549,0
132971,66,163659,72,BT549,1
51039095,173,11167602,127,KPL1,1
2662,9,208908,75,BT549,0
3081361,103,3685,19,BT549,0
444795,86,68740,57,BT549,0
5426,32,2907,13,BT549,1
135398738,191,5426,32,BT549,0
2351,6,63009,55,HUH7,1
452548,89,96312,60,BT549,0
241902,78,96312,60,BT549,0
2708,10,2733525,97,BT549,0
23725625,152,4261,26,KPL1,1
3367,15,667490,93,BT549,0
23725625,152,16720766,147,KPL1,1
60198,51,249332,79,BT549,0
25023738,158,46215815,169,MDAMB468,0
11525740,135,104842,62,BT549,0
216239,76,148121,67,BT549,0
11626560,138,148121,67,BT549,0
148124,68,29327,44,BT549,0
2733525,97,104842,62,BT549,1
5426,32,4114,23,BT549,1
4212,25,24197464,153,BT549,0
11525740,135,644241,92,BT549,1
6252,40,5352062,107,BT549,1
9854073,115,667490,93,BT549,0
5799,36,2708,10,BT549,0
11626560,138,4114,23,BT549,1
5453,33,667490,93,BT549,0
2123,3,96312,60,BT549,0
126941,65,5746,34,BT549,1
1546,0,6445540,111,BT549,0
249332,79,38904,48,BT549,0
62770,54,3367,15,BT549,0
5453,33,57469,50,BT549,1
5035,28,9854073,115,BT549,0
3385,16,32874,45,BT549,1
4212,25,126941,65,BT549,0
23725625,152,6918289,113,KPL1,0
3950,22,68740,57,BT549,0
60699,52,387447,82,BT549,0
24197464,153,3685,19,BT549,0
457193,91,60699,52,MCF7,0
249332,79,208908,75,BT549,0
71384,58,6194,38,BT549,0
354624,80,3685,19,BT549,1
6194,38,5311,30,BT549,1
6450551,112,6239,39,BT549,1
5790,35,6445540,111,BT549,0
2708,10,208908,75,BT549,0
11626560,138,216239,76,BT549,0
132971,66,1546,0,BT549,0
11525740,135,2662,9,BT549,1
3367,15,208908,75,BT549,0
71384,58,2733525,97,BT549,1
5453,33,24197464,153,BT549,1
148124,68,2907,13,HS578T,0
6442177,110,77082,59,BT549,0
3385,16,96312,60,BT549,0
444795,86,32874,45,BT549,0
36314,46,5352062,107,BT549,0
2907,13,441203,85,HS578T,0
241902,78,5935,37,BT549,1
4211,24,356653,81,BT549,0
25126798,160,3367,15,BT549,0
132971,66,77082,59,BT549,1
10184653,125,25227436,162,BT549,0
3385,16,356653,81,BT549,0
9927978,120,2733525,97,BT549,0
123631,64,451668,88,BT549,1
3902,21,3657,18,BT549,1
25136944,161,40926,49,BT549,0
62770,54,11626560,138,BT549,0
1546,0,2187,5,BT549,0
208908,75,3690,20,BT549,0
71384,58,40926,49,BT549,0
5790,35,123608,63,BT549,0
11707110,140,17755052,150,KPL1,1
126941,65,4842,27,BT549,1
6450551,112,96312,60,BT549,0
9927978,120,441203,85,BT549,0
36314,46,4842,27,BT549,0
123608,63,40926,49,BT549,0
5352062,107,387447,82,BT549,0
6252,40,176871,74,BT549,0
216326,77,3902,21,BT549,0
3385,16,5352062,107,BT549,1
3081361,103,42611257,164,BT549,1
23725625,152,104741,61,KPL1,1
441203,85,32874,45,BT549,0
148121,67,5426,32,BT549,0
5311,30,2578,8,BT549,1
23725625,152,11556711,136,KPL1,1
2662,9,36314,46,BT549,1
667490,93,387447,82,BT549,0
135410875,193,71384,58,BT549,1
4212,25,5352062,107,BT549,1
5035,28,36314,46,BT549,0
123631,64,36462,47,BT549,1
11626560,138,104842,62,BT549,0
5035,28,11626560,138,BT549,0
2662,9,2478,7,BT549,0
104741,61,32874,45,BT549,0
1546,0,241902,78,BT549,1
5360373,108,104741,61,BT549,0
25136944,161,6239,39,BT549,1
3385,16,42611257,164,BT549,0
10127622,123,49867926,171,KPL1,0
135410875,193,9703,42,BT549,0
11152667,126,25033539,159,KPL1,0
9854073,115,132971,66,BT549,0
104741,61,400633,83,BT549,0
3081361,103,9927978,120,BT549,0
216239,76,123608,63,BT549,0
1546,0,32874,45,BT549,0
11626560,138,163659,72,BT549,1
51039095,173,17755052,150,BT549,1
6194,38,57469,50,BT549,1
5284616,104,208908,75,BT549,1
5035,28,68740,57,BT549,1
2578,8,2141,4,BT549,0
71384,58,4114,23,BT549,1
6194,38,3685,19,BT549,0
104842,62,6445540,111,BT549,0
3081361,103,57469,50,BT549,0
23725625,152,25033539,159,KPL1,0
4212,25,11683,43,BT549,0
644241,92,24197464,153,BT549,0
249332,79,4842,27,BT549,1
104741,61,387447,82,BT549,0
2708,10,5284616,104,BT549,0
135398738,191,57469,50,BT549,0
6252,40,3690,20,BT549,0
1550874,95,63009,55,HUH7,0
96312,60,2187,5,BT549,1
400633,83,5284616,104,BT549,0
3657,18,5935,37,BT549,0
452548,89,2187,5,BT549,0
36462,47,2578,8,BT549,0
644241,92,5935,37,BT549,0
24197464,153,176871,74,BT549,0
24776445,154,54611422,175,BT549,0
11626560,138,6252,40,BT549,0
5790,35,5311,30,BT549,0
4212,25,3950,22,BT549,0
644241,92,5746,34,BT549,0
9854073,115,24776445,154,BT549,0
5394,31,176871,74,BT549,0
11525740,135,60198,51,BT549,0
156422,71,25126798,160,MDAMB468,0
3081361,103,24776445,154,BT549,0
23725625,152,387447,82,KPL1,1
454216,90,6445540,111,HS578T,0
667490,93,400633,83,BT549,0
51039095,173,11656518,139,KPL1,1
11683,43,38904,48,BT549,0
5035,28,3062316,102,BT549,0
86661883,187,25262792,163,BT549,0
56655374,180,54761306,177,A549,1
6450551,112,5790,35,BT549,0
10184653,125,86661883,187,BT549,0
77082,59,400633,83,BT549,0
11626560,138,77082,59,BT549,0
17755052,150,56655374,180,A549,1
132971,66,5352062,107,BT549,0
9927978,120,2478,7,BT549,0
5394,31,454216,90,BT549,0
25136944,161,454216,90,BT549,1
23725625,152,11520894,134,KPL1,0
6194,38,24197464,153,BT549,0
3950,22,9927978,120,BT549,1
38904,48,6442177,110,BT549,0
4211,24,441203,85,BT549,0
38904,48,176871,74,BT549,1
5453,33,104842,62,BT549,1
5291,29,441203,85,BT549,0
5394,31,451668,88,BT549,0
3385,16,5360373,108,BT549,1
5352062,107,135401907,192,BT549,0
1546,0,163659,72,BT549,0
2733525,97,5311,30,BT549,1
11525740,135,3690,20,BT549,1
2733526,98,17755052,150,KPL1,0
5291,29,2578,8,BT549,0
216326,77,163659,72,BT549,1
2662,9,60699,52,BT549,0
6450551,112,126941,65,BT549,0
9703,42,24197464,153,BT549,0
9826528,114,2779853,99,MDAMB468,0
62770,54,4842,27,BT549,1
51039095,173,16659841,144,MCF7,1
5394,31,96312,60,BT549,0
2733525,97,3690,20,BT549,1
216326,77,356653,81,BT549,1
60699,52,6445540,111,BT549,0
135410875,193,241902,78,BT549,0
132971,66,5311,30,BT549,1
9854073,115,42611257,164,BT549,0
11683,43,135401907,192,BT549,0
163659,72,387447,82,BT549,0
11626560,138,356653,81,BT549,0
5799,36,4212,25,BT549,0
60198,51,4211,24,BT549,1
135398738,191,148124,68,BT549,0
24776445,154,5284616,104,BT549,0
123631,64,457193,91,BT549,1
216326,77,62770,54,BT549,1
11683,43,42611257,164,BT549,1
71384,58,5311,30,BT549,1
5284616,104,216239,76,BT549,1
11525740,135,36462,47,BT549,0
126941,65,3685,19,BT549,0
6194,38,441203,85,BT549,0
1805,2,3062316,102,BT549,0
104842,62,3685,19,BT549,1
40926,49,2578,8,BT549,1
2123,3,644241,92,BT549,0
25227436,162,16719221,146,KPL1,1
104842,62,77082,59,BT549,0
9854073,115,354624,80,BT549,0
9854073,115,2478,7,BT549,0
457193,91,6239,39,BT549,0
123631,64,176167,73,KPL1,1
5035,28,2733525,97,BT549,0
4212,25,208908,75,BT549,0
68740,57,57469,50,BT549,0
123631,64,356653,81,BT549,1
11525740,135,135398738,191,BT549,0
38904,48,667490,93,BT549,0
